id_loan,orig_dti,orig_ltv,state,orig_upb,Act_endg_upb,cpn_gap,summer,period_end,prepay,period_begin
F103Q2007910,32,74,OK,68000,63072.08,1.22,1,60,0,0
F103Q2007927,37,90,CA,270000,0,1.41,1,12,1,0
F103Q2007944,36,90,OH,169000,0,0.83,1,26,1,0
F103Q2007949,24,78,NJ,240000,0,1,0,31,1,0
F103Q2007954,45,62,NJ,150000,0,0.32,0,41,1,0
F103Q2007962,51,77,NJ,183000,0,1.04,0,17,1,0
F103Q2007972,41,90,FL,221000,204176.86,0.97,1,60,0,0
F103Q2007977,49,73,UT,131000,0,0.86,0,57,1,0
F103Q2007984,37,78,WI,136000,0,0.75,0,22,1,0
F103Q2008026,18,70,OR,116000,0,1.02,0,23,1,0
F103Q2008037,38,80,PA,102000,95285.7,1.47,1,60,0,0
F103Q2008047,15,73,IL,86000,66488.55,1.34,1,60,0,0
F103Q2008048,27,90,IL,113000,0,0.63,0,47,1,0
F103Q2008064,31,80,MI,80000,0,1.09,1,25,1,0
F103Q2008067,21,80,IL,173000,0,1.82,1,3,1,0
F103Q2008072,31,67,IA,59000,54811.22,1.34,1,60,0,0
F103Q2008074,14,40,NH,90000,66355.32,1.09,1,60,0,0
F103Q2008075,45,80,NH,145000,0,1.53,1,2,1,0
F103Q2008100,39,79,MN,142000,0,1.53,1,12,1,0
F103Q2008115,48,79,OH,220000,204191,1.59,1,60,0,0
F103Q2008140,42,95,FL,82000,75202.3,0.97,1,60,0,0
F103Q2008150,49,46,KY,60000,55554.25,1.34,1,60,0,0
F103Q2008163,21,80,IN,48000,0,1.25,0,22,1,0
F103Q2008182,32,66,MA,186000,0,0.64,1,48,1,0
F103Q2008202,49,43,PA,51000,46914.43,1.34,1,60,0,0
F103Q2008218,36,75,MN,220000,0,1.36,0,20,1,0
F103Q2008220,38,65,TX,250000,229042.34,0.84,1,60,0,0
F103Q2008229,20,67,IN,75000,68623.9,1.47,1,60,0,0
F103Q2008238,55,85,IN,122000,113887.08,1.47,1,60,0,0
F103Q2008240,17,55,IN,94000,86997.33,1.47,1,60,0,0
F103Q2008265,21,80,WI,148000,137052.18,1.09,1,60,0,0
F103Q2008269,38,78,OH,212000,196787.48,1.34,1,60,0,0
F103Q2008270,20,54,IN,145000,0,1.02,0,45,1,0
F103Q2008285,30,78,AL,255000,236521.54,1.22,1,60,0,0
F103Q2008286,50,59,MO,139000,0,1.66,1,2,1,0
F103Q2008306,9,59,LA,90000,83478.12,1.22,1,60,0,0
F103Q2008320,32,80,KY,80000,74436.36,1.47,1,60,0,0
F103Q2008328,41,57,KY,51000,47422.89,1.47,1,60,0,0
F103Q2008333,26,93,KY,83000,0,0.62,0,43,1,0
F103Q2008336,17,95,KY,139000,0,0.71,0,55,1,0
F103Q2008342,26,66,KY,118000,109793.92,1.47,1,60,0,0
F103Q2008343,17,75,KY,101000,0,1.54,0,59,1,0
F103Q2008348,21,78,KY,115000,97252.75,1.34,1,60,0,0
F103Q2008374,35,94,IL,155000,0,1.27,0,11,1,0
F103Q2008382,26,44,OH,55000,51094.99,1.34,1,60,0,0
F103Q2008401,34,52,VA,133000,104059.24,1.47,1,60,0,0
F103Q2008404,32,66,NY,183000,162076.49,1.22,1,60,0,0
F103Q2008415,16,72,IL,153000,139355.11,1.34,1,60,0,0
F103Q2008434,14,32,NY,120000,111654.21,1.47,1,60,0,0
F103Q2008438,22,78,NY,212000,196791.24,1.47,1,60,0,0
F103Q2008441,44,95,NY,84000,0,0.48,0,54,1,0
F103Q2008444,30,63,VT,132000,122628.58,1.34,1,60,0,0
F103Q2008458,46,88,WI,79000,73715.84,1.7,1,60,0,0
F103Q2008461,49,72,FL,81000,74474.66,1.97,1,60,0,0
F103Q2008463,40,82,IL,199000,0,2.55,0,6,1,0
F103Q2008468,61,52,MO,71000,0,0.63,0,18,1,0
F103Q2008469,50,77,IA,84000,77332.7,0.84,1,60,0,0
F103Q2008472,44,75,OH,100000,93013.94,1.47,1,60,0,0
F103Q2008489,41,65,CA,228000,0,0.83,1,26,1,0
F103Q2015116,40,89,WI,240000,0,0.85,0,10,1,0
F103Q2031365,40,63,KS,69000,0,0.93,0,58,1,0
F103Q2033529,26,80,IN,280000,0,1.47,1,60,1,0
F103Q2041331,29,87,MI,93000,86082.95,1.34,1,60,0,0
F103Q2044124,43,63,IL,322000,0,1.84,1,3,1,0
F103Q2044158,40,74,IL,122000,113410.71,1.47,1,60,0,0
F103Q2045340,20,80,OH,110000,102327.09,1.72,1,60,0,0
F103Q2047474,36,90,MO,104000,96636.61,1.84,1,60,0,0
F103Q2048530,36,80,CO,88000,80828.65,1.34,1,60,0,0
F103Q2048590,51,43,NY,56000,51793.08,1.59,1,60,0,0
F103Q2048592,37,80,IN,70000,65317.88,1.47,1,60,0,0
F103Q2050854,44,80,IA,127000,0,1.65,1,1,1,0
F103Q2050861,34,78,KS,123000,114619.05,1.59,1,60,0,0
F103Q2052106,29,88,IL,74000,65485.54,1.34,1,60,0,0
F103Q2072067,47,64,WA,177000,144471.99,0.97,1,60,0,0
F103Q2072070,29,80,NY,136000,126144.17,1.22,1,60,0,0
F103Q2072103,33,61,ME,135000,125579.38,1.47,1,60,0,0
F103Q2073169,33,80,MI,79000,73215.92,1.59,1,60,0,0
F103Q2073276,36,52,MI,83000,73146.7,1.22,1,60,0,0
F103Q2073324,26,83,MI,73000,67817.36,1.34,1,60,0,0
F103Q2073331,23,59,MI,70000,64750.03,1.34,1,60,0,0
F103Q2073338,31,72,MI,60000,55961.83,1.34,1,60,0,0
F103Q2073352,21,71,MI,81000,68386.52,1.34,1,60,0,0
F103Q2073358,19,38,MI,74000,0,0.12,1,39,1,0
F103Q2073393,29,66,MI,83000,0,0.19,0,41,1,0
F103Q2073400,38,18,MI,33000,0,1.47,0,28,1,0
F103Q2073421,29,44,MI,60000,53525.85,1.47,1,60,0,0
F103Q2073424,43,6,MI,70000,65131.58,1.47,1,60,0,0
F103Q2073462,50,66,MI,77000,71533.46,1.34,1,60,0,0
F103Q2073475,26,40,MI,100000,89088.49,0.84,1,60,0,0
F103Q2073988,56,49,MI,146000,135419.96,1.22,1,60,0,0
F103Q2074016,15,66,MI,115000,37615.02,1.22,1,60,0,0
F103Q2074155,29,95,MI,115000,107332.27,1.47,1,60,0,0
F103Q2074197,25,44,MI,112000,104048.79,1.34,1,60,0,0
F103Q2074304,26,70,MI,125000,115754.26,1.34,1,60,0,0
F103Q2074351,39,92,MI,138000,0,1.17,0,8,1,0
F103Q2074354,56,69,MI,125000,116306.96,1.47,1,60,0,0
F103Q2074387,38,44,MI,105000,92150.76,1.47,1,60,0,0
F103Q2074478,24,80,MI,117000,108693.73,1.34,1,60,0,0
F103Q2074486,10,79,MI,141000,0,1.04,0,30,1,0
F103Q2074590,36,95,IL,144000,134563.48,1.59,1,60,0,0
F103Q2074591,58,74,MI,122000,114029.05,1.84,1,60,0,0
F103Q2074639,34,68,MI,102000,95051.86,1.59,1,60,0,0
F103Q2074793,32,58,IN,227000,209054.75,0.84,1,60,0,0
F103Q2074821,42,80,MI,230000,213600.43,1.47,1,60,0,0
F103Q2074888,37,80,MI,180000,0,0.59,0,55,1,0
F103Q2074892,26,95,MI,167000,154994.55,1.34,1,60,0,0
F103Q2074895,19,64,MI,270000,250831.44,1.34,1,60,0,0
F103Q2075171,21,74,MI,227000,210550.33,1.22,1,60,0,0
F103Q2075185,19,73,MI,270000,235632.87,1.22,1,60,0,0
F103Q2075201,33,80,IN,290000,0,0.87,1,14,1,0
F103Q2076437,30,35,MA,63000,58603.96,1.47,1,60,0,0
F103Q2076605,14,49,MT,109000,0,0.98,0,20,1,0
F103Q2076610,34,80,WI,143000,0,1.06,0,18,1,0
F103Q2076712,36,71,NM,84000,78515.74,1.47,1,60,0,0
F103Q2076718,25,61,NY,115000,0,1.08,1,26,1,0
F103Q2076721,30,56,NY,155000,0,0.61,1,37,1,0
F103Q2076737,39,95,NY,95000,88528.77,1.59,1,60,0,0
F103Q2076787,33,80,OH,96000,89445.31,1.59,1,60,0,0
F103Q2076840,33,90,TX,128000,118043.67,1.47,1,60,0,0
F103Q2076909,13,69,TX,88000,0,1.04,1,27,1,0
F103Q2077133,12,95,SC,118000,0,0.53,1,36,1,0
F103Q2077278,29,43,AL,220000,0,0.9,1,49,1,0
F103Q2077303,47,90,FL,60000,48618.58,1.84,1,60,0,0
F103Q2077325,19,74,OH,53000,49506.22,1.59,1,60,0,0
F103Q2077328,36,80,WI,132000,122789.31,1.47,1,60,0,0
F103Q2077335,26,57,FL,65000,0,2.21,0,4,1,0
F103Q2077349,38,80,NH,218000,0,1.23,0,10,1,0
F103Q2077365,10,19,ME,300000,239481.5,1.34,1,60,0,0
F103Q2077383,30,49,MN,220000,203728.42,1.09,1,60,0,0
F103Q2077466,29,77,CO,147000,136311.79,1.47,1,60,0,0
F103Q2077772,59,80,CT,129000,0,1.25,0,31,1,0
F103Q2078960,24,90,IL,63000,0,1.3,0,6,1,0
F103Q2079122,18,57,TX,62000,42999.79,1.34,1,60,0,0
F103Q2080338,35,56,MI,80000,73173.79,1.47,1,60,0,0
F103Q2080352,27,59,MI,100000,92753.2,1.22,1,60,0,0
F103Q2080448,15,65,MI,97000,82318.32,1.34,1,60,0,0
F103Q2080465,42,42,MI,91000,84203.14,1.47,1,60,0,0
F103Q2081260,59,60,MI,225000,201270.22,1.22,1,60,0,0
F103Q2081265,12,72,MI,185000,171866.1,1.34,1,60,0,0
F103Q2081271,52,59,MI,152000,0,0.59,0,55,1,0
F103Q2081276,31,80,MI,153000,0,1.14,0,23,1,0
F103Q2081281,54,90,MI,177000,0,1.14,0,23,1,0
F103Q2081282,24,78,MI,210000,0,0.65,0,16,1,0
F103Q2086103,39,55,NJ,150000,127524.49,1.34,1,60,0,0
F103Q2087964,34,75,GA,96000,86929.48,1.22,1,60,0,0
F103Q2089560,55,60,WI,143000,133435.21,1.7,1,60,0,0
F103Q2089596,36,70,WI,151000,0,0.61,1,37,1,0
F103Q2089599,50,80,WI,186000,173275.07,1.39,1,60,0,0
F103Q2089653,33,80,IL,276000,238130.66,1.22,1,60,0,0
F103Q2089661,19,63,MO,80000,0,0.17,0,52,1,0
F103Q2089686,31,84,MA,142000,0,1.37,0,11,1,0
F103Q2089691,44,80,MA,228000,0,1.53,1,12,1,0
F103Q2089696,17,69,NY,413000,383738.21,1.34,1,60,0,0
F103Q2089730,21,92,IA,75000,69876.78,1.47,1,60,0,0
F103Q2089732,43,71,IL,71000,65473.95,1.34,1,60,0,0
F103Q2089757,23,62,MI,103000,0,1.35,0,22,1,0
F103Q2089763,36,95,WI,86000,0,0.05,0,52,1,0
F103Q2089977,21,80,MI,122000,109739.13,1.47,1,60,0,0
F103Q2090083,32,89,MO,121000,112501.66,1.47,1,60,0,0
F103Q2090116,63,19,RI,200000,0,1.24,0,58,1,0
F103Q2090258,34,73,ME,200000,183437.13,0.97,1,60,0,0
F103Q2090353,47,89,KS,115000,0,0.75,0,47,1,0
F103Q2090369,25,60,KS,85000,73728.38,1.47,1,60,0,0
F103Q2090370,37,80,NJ,256000,237704.32,1.34,1,60,0,0
F103Q2090374,19,57,NH,130000,0,0.92,0,30,1,0
F103Q2090417,17,80,NY,124000,114672.74,1.34,1,60,0,0
F103Q2090418,26,80,VA,320000,297314.51,1.47,1,60,0,0
F103Q2090434,35,79,MI,291000,269724,1.34,1,60,0,0
F103Q2090444,45,40,WI,131000,121411.76,1.47,1,60,0,0
F103Q2090446,27,80,WI,144000,134393.25,1.72,1,60,0,0
F103Q2090481,51,53,VA,124000,114264.66,0.84,1,60,0,0
F103Q2090527,22,72,NE,125000,0,0.84,0,46,1,0
F103Q2090542,45,75,MN,285000,266765.26,1.97,1,60,0,0
F103Q2090546,36,95,MN,143000,133667.88,1.47,1,60,0,0
F103Q2090668,28,62,NH,117000,0,1.62,0,11,1,0
F103Q2090704,29,88,SC,124000,110998.52,1.09,1,60,0,0
F103Q2090734,35,78,MI,91000,84206.24,1.47,1,60,0,0
